,train_accuracy,train_loss,test_accuracy,test_loss
0,0.5383987,0.6874546,0.6397059,0.6274472
1,0.6887255,0.54982024,0.7867647,0.5385186
2,0.77042484,0.47199517,0.7867647,0.56770855
3,0.8047386,0.44015065,0.77205884,0.55220884
4,0.8382353,0.39823794,0.8235294,0.46427244
5,0.85212415,0.3864742,0.75,0.5814476
6,0.8602941,0.37113878,0.8161765,0.48989028
7,0.8513072,0.37572846,0.7794118,0.5397642
8,0.84150326,0.3805494,0.8161765,0.4927604
9,0.86928105,0.345102,0.8161765,0.43457508
10,0.88480395,0.32845175,0.8235294,0.4868049
11,0.8905229,0.3160807,0.7941176,0.5241066
12,0.875817,0.33085254,0.8014706,0.53597
13,0.8864379,0.3219929,0.8088235,0.4589254
14,0.8913399,0.3101337,0.77205884,0.50429773
15,0.90767974,0.2864074,0.8382353,0.49047157
16,0.89215684,0.2980289,0.8161765,0.4866684
17,0.9027778,0.2847429,0.8308824,0.50062305
18,0.9150327,0.25977314,0.8235294,0.54159385
19,0.90931374,0.26714322,0.8235294,0.49467972
20,0.9330065,0.24786355,0.7647059,0.68514913
21,0.9272876,0.25042275,0.7794118,0.54401886
22,0.9403595,0.2339581,0.85294116,0.52555835
23,0.92075163,0.24408421,0.8088235,0.54667
24,0.9321895,0.23007225,0.8088235,0.5494326
25,0.9264706,0.23362109,0.7794118,0.6832133
26,0.9248366,0.2493728,0.8014706,0.5603418
27,0.9346405,0.22558706,0.8014706,0.5993093
28,0.9346405,0.2090112,0.8014706,0.6156689
29,0.9403595,0.21699382,0.7867647,0.572466
30,0.9330065,0.2190358,0.8161765,0.55961704
31,0.9256536,0.21976364,0.8161765,0.65515906
32,0.9444444,0.1892232,0.8161765,0.73622984
33,0.9297386,0.21965612,0.8235294,0.5068879
34,0.9632353,0.17662986,0.8235294,0.6375228
35,0.9403595,0.1900467,0.7794118,0.7506477
36,0.95098037,0.18064053,0.77205884,0.71104133
37,0.9460784,0.18702798,0.8161765,0.6166083
38,0.9575163,0.17485616,0.8382353,0.6062462
39,0.9599673,0.16583118,0.8088235,0.6301584
40,0.9419935,0.17463823,0.8235294,0.6241075
41,0.95261437,0.17549786,0.7867647,0.6042071
42,0.9558824,0.16404311,0.8235294,0.71973515
43,0.9468954,0.16916169,0.8088235,0.7010833
44,0.9501634,0.17437474,0.77205884,0.6835879
45,0.95179737,0.16617589,0.7941176,0.56802076
46,0.9566994,0.14778373,0.7794118,0.75117904
47,0.9558824,0.1616461,0.77205884,0.6622609
48,0.96486926,0.143269,0.8455882,0.6917422
49,0.96568626,0.14359589,0.7647059,0.7385464
